name,price,description,link
nfx training shoes,79.99,"Whether you just joined a gym or already know your way around a barbell, these men's Reebok training shoes are designed to help you meet your fitness goals. The breathable and lightweight mesh upper keeps your feet comfortable while integrated support provides stability during box jumps and all-day wear. The rubber outsole features sidewall wraps for durability and traction indoors and out, with forefoot grooves for flexibility where you need it most., ['Style:', '100202088', 'Gender:', 'Men\n', 'Eva midsole\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-nfx-training-shoes-ftwwht-cblack-orgfla
campio xt shoes,120.00,"Imagine you're on the pitch in the '90s when you lace up these Reebok Campio XT shoes. Inspired by vintage soccer style, they have a sleek silhouette and colors reminiscent of classic kits. A suede T-toe perfectly sets off the aggressive rubber toe bumper. With their retro-inspired design and contemporary flair, they capture the spirit of both past and present effortlessly., ['Style:', '100220547', 'Gender:', 'Unisex\n', 'Eva midsole\n', 'Rubber outsole\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-campio-xt-shoes-ftwrwhite-black-rbkgum04
hammer street shoes,120.00,"Imagine you're on the pitch in the '90s when you lace up these Reebok Hammer Street shoes. We went deep into our back indoor soccer catalog to create these. The premium suede upper has a T-toe design never seen anywhere else on Reebok sneakers. The colors are inspired by archive soccer kits. The gum rubber outsole has textures from the original. Score., ['Style:', '100202338', 'Gender:', 'Unisex\n', 'Rubber outsole\n', 'Upper : suede leather\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-hammer-street-shoes-collegiategreen-white-gum
classic leather winterized shoes,79.99,"The Classic Leather Winterized Shoes offer a seasonal twist on a timeless design, ideal for everyday wear. With a regular fit, these shoes feature water-repellent materials for functionality without compromising style. The molded midsole and rugged rubber outsole ensure durability and traction in any weather., ['Style:', '100074285', 'Gender:', 'Men\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-classic-leather-winterized-shoes-armgrn-black-bon
bb 4000 ii shoes,99.99,"Born on the hardwood. Remade for you. Rock those OG B-ball vibes every time you lace up these basketball-inspired shoes. A supple leather upper elevates your look. Retro details shine, including a debossed logo and TPU details. So clean. So fresh. All Reebok, all day., ['Style:', '100033315', 'Gender:', 'Unisex\n', 'Textile lining\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-bb-4000-ii-shoescore-blk-ftwr-wht-pure-gry-7
dime club c revenge shoes,185.00,"Known for its underground videos, renegade Montreal company Dime brings its skate-inspired aesthetic to these bold Reebok Club C Revenge Shoes. The Dime logo is debossed on the tongue to elevate your look. This fair pair of kicks goes long on luxe, with a premium suede upper and metallic-gold accents., ['Style:', '100069826', 'Gender:', 'Unisex\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-dime-club-c-revenge-shoes-astdus-astdus-goldmt
instapump fury 94 winter shoes,230.00,"Wear your favorite OG Reebok shoes through the colder months. These slip-ons start with a '90s running style and then add winterized, outdoor-inspired details. The rugged upper holds up when the weather shifts. The iconic Pump lets you customize the fit and feel., ['Style:', '100202688', 'Gender:', 'Unisex\n', 'Rubber outsole\n', 'Textile lining\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-instapump-fury-94-winter-shoes-drkmattr-utilitybrwn-khakibrwn
club c bulc shoes,89.99,"Mashing up bold Y2K style and Reebok DNA, these shoes stay true to their inspiration with bold color choices and a contrasting outsole. Everything is bigger on these sneakers, from the blown-out upper to the fat laces. The tongue label opens at the top to create a pocket., ['Style:', '100074247', 'Gender:', 'Men\n', 'Textile lining\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-club-c-bulc-shoes-drkgrn-oat-clayel
reebok court clean shoes,90.00,"Offering a pared-back look inspired by classic tennis styles, the Reebok Court Clean has a low-top silhouette with seamless Vector stripes. The minimalist style is finished with retro logos, a cushioned EVA sockliner and durable rubber cupsole., ['Style:', '100074368', 'Gender:', 'Men\n', 'Foam midsole\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-reebok-court-clean-shoes-ftwwht-vecnav-rbkg04
court clean shoes,80.00,"With its sleek look inspired by classic tennis models, the Reebok Court Clean features a low-profile silhouette with seamless Vector stripes. It features retro logos, an EVA insole and a durable rubber sole., ['Style:', '100074364', 'Gender:', 'Men\n', 'Foam midsole\n', 'Leather upper\n', 'Padded insole\n', 'Rubber outsole\n']",https://reebok.ca/collections/mens-shoes/products/reebok-footwear-men-court-clean-shoes-ftwwht-vecnav-eacobl
