name,price,description,link
Grade School Project Rock 7 Training Shoes,165,"UA Clone upper provides an ultra-precise fit that expands & contracts for seamless comfort & support,Plush foam on the inside of the ankle collar for maximum comfort,External, molded TPU heel counter helps stabilize & lockdown the heel to enable mobility in the forefoot,Responsive UA HOVR™ cushioning reduces impact, returns energy & helps propel you forward,Strategic perforations within the UA HOVR™ foam for a more lightweight feel,UA TriBase™ maximizes ground contact, promotes natural motion & provides flexibility to grip during lifts,Durable outsole rubber with toe cap wraps up for support & protection through planks & other HIIT training,Regular,Style #: 3027602,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/grade_school_project_rock_7_training_shoes/3027602.html?dwvar_3027602_color=003
Girls' Grade School UA Surge 4 Running Shoes,56.97 - 70,"These shoes are going to feel cushioned and comfortable, but also light and breathable. Why? Because when you never slow down, that's what you need., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,TPU heel overlay for added durability & support,Enhanced cushioning around ankle collar for superior comfort,Full-length EVA sockliner for added comfort & a custom fit,Cushioned EVA midsole delivers a lightweight & responsive ride,Durable outsole with slightly raised rubber knobs for added grip & traction,Regular,Style #: 3027108,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/girls_grade_school_ua_surge_4_running_shoes/3027108.html?dwvar_3027108_color=002
Girls' UA Ignite Select Slides,33,"The memory foam not only feels great, but also helps eliminate pressure on your feet after you work out., Fixed strap with rolled edges & added foam underneath for an extra comfortable fit,Drop-in EVA footbed provides underfoot cushioning,Raised sidewalls for added stability,EVA outsole delivers great durability & traction,Regular,Style #: 3027227,Imported",https://www.underarmour.ca/en-ca/p/sportswear/girls_ua_ignite_select_slides/3027227.html?dwvar_3027227_color=001
Girls' Grade School UA Surge 4 Running Shoes,56.97 - 70,"These shoes are going to feel cushioned and comfortable, but also light and breathable. Why? Because when you never slow down, that's what you need., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,TPU heel overlay for added durability & support,Enhanced cushioning around ankle collar for superior comfort,Full-length EVA sockliner for added comfort & a custom fit,Cushioned EVA midsole delivers a lightweight & responsive ride,Durable outsole with slightly raised rubber knobs for added grip & traction,Regular,Style #: 3027108,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/girls_grade_school_ua_surge_4_running_shoes/3027108.html?dwvar_3027108_color=001
Girls' Grade School UA Surge 4 Running Shoes,56.97 - 70,"These shoes are going to feel cushioned and comfortable, but also light and breathable. Why? Because when you never slow down, that's what you need., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,TPU heel overlay for added durability & support,Enhanced cushioning around ankle collar for superior comfort,Full-length EVA sockliner for added comfort & a custom fit,Cushioned EVA midsole delivers a lightweight & responsive ride,Durable outsole with slightly raised rubber knobs for added grip & traction,Regular,Style #: 3027108,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/girls_grade_school_ua_surge_4_running_shoes/3027108.html?dwvar_3027108_color=101
Girls' Pre-School UA Surge 4 AC Running Shoes,65,"These shoes are going to feel cushioned and comfortable, but also light and breathable. Why? Because when you never slow down, that's what you need., Lightweight, breathable mesh upper,TPU heel overlay for added durability & support,Adjustable hook & loop strap closure for easy on & off,Full-length EVA sockliner for added comfort & a custom fit,Cushioned EVA midsole for all-day comfort,Lightweight, durable outsole,Regular,Style #: 3027109,Lace type: Standard tie with hook & loop strap,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/girls_pre-school_ua_surge_4_ac_running_shoes/3027109.html?dwvar_3027109_color=500
Girls' Pre-School UA Surge 4 AC Running Shoes,65,"These shoes are going to feel cushioned and comfortable, but also light and breathable. Why? Because when you never slow down, that's what you need., Lightweight, breathable mesh upper,TPU heel overlay for added durability & support,Adjustable hook & loop strap closure for easy on & off,Full-length EVA sockliner for added comfort & a custom fit,Cushioned EVA midsole for all-day comfort,Lightweight, durable outsole,Regular,Style #: 3027109,Lace type: Standard tie with hook & loop strap,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/girls_pre-school_ua_surge_4_ac_running_shoes/3027109.html?dwvar_3027109_color=002
Girls' Pre-School UA Surge 4 AC Running Shoes,65,"These shoes are going to feel cushioned and comfortable, but also light and breathable. Why? Because when you never slow down, that's what you need., Lightweight, breathable mesh upper,TPU heel overlay for added durability & support,Adjustable hook & loop strap closure for easy on & off,Full-length EVA sockliner for added comfort & a custom fit,Cushioned EVA midsole for all-day comfort,Lightweight, durable outsole,Regular,Style #: 3027109,Lace type: Standard tie with hook & loop strap,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/girls_pre-school_ua_surge_4_ac_running_shoes/3027109.html?dwvar_3027109_color=100
Girls' Grade School UA Surge 4 Running Shoes,56.97 - 70,"These shoes are going to feel cushioned and comfortable, but also light and breathable. Why? Because when you never slow down, that's what you need., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,TPU heel overlay for added durability & support,Enhanced cushioning around ankle collar for superior comfort,Full-length EVA sockliner for added comfort & a custom fit,Cushioned EVA midsole delivers a lightweight & responsive ride,Durable outsole with slightly raised rubber knobs for added grip & traction,Regular,Style #: 3027108,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/girls_grade_school_ua_surge_4_running_shoes/3027108.html?dwvar_3027108_color=500
Girls' Infant UA Assert 10 AC Running Shoes,60,"Your ultimate lightweight, do-everything shoes—with soft cushioning for a smooth ride and synthetic overlays for more support., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,Hook & loop strap for easy on & off,EVA sockliner provides soft, step-in comfort,One-piece EVA midsole turns cushioned landings into explosive takeoffs,Lightweight, durable outsole,Regular,Style #: 3026191,Lace type: Standard tie with hook & loop strap,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/girls_infant_ua_assert_10_ac_running_shoes/3026191.html?dwvar_3026191_color=001
Girls' Grade School UA Assert 10 Running Shoes,61.97 - 75,"Your ultimate lightweight, do-everything shoes—with soft cushioning for a smooth ride and synthetic overlays for more support., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,EVA sockliner provides soft, step-in comfort,One-piece EVA midsole turns cushioned landings into explosive takeoffs,Solid rubber outsole covers high impact zones for greater durability with less weight,Regular,Style #: 3026189,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/girls_grade_school_ua_assert_10_running_shoes/3026189.html?dwvar_3026189_color=500
Girls' Grade School UA Assert 10 Running Shoes,61.97 - 75,"Your ultimate lightweight, do-everything shoes—with soft cushioning for a smooth ride and synthetic overlays for more support., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,EVA sockliner provides soft, step-in comfort,One-piece EVA midsole turns cushioned landings into explosive takeoffs,Solid rubber outsole covers high impact zones for greater durability with less weight,Regular,Style #: 3026189,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/girls_grade_school_ua_assert_10_running_shoes/3026189.html?dwvar_3026189_color=002
Girls' Grade School UA Surge 4 Running Shoes,56.97 - 70,"These shoes are going to feel cushioned and comfortable, but also light and breathable. Why? Because when you never slow down, that's what you need., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,TPU heel overlay for added durability & support,Enhanced cushioning around ankle collar for superior comfort,Full-length EVA sockliner for added comfort & a custom fit,Cushioned EVA midsole delivers a lightweight & responsive ride,Durable outsole with slightly raised rubber knobs for added grip & traction,Regular,Style #: 3027108,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/girls_grade_school_ua_surge_4_running_shoes/3027108.html?dwvar_3027108_color=100
Girls' Grade School UA Assert 10 Running Shoes,61.97 - 75,"Your ultimate lightweight, do-everything shoes—with soft cushioning for a smooth ride and synthetic overlays for more support., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,EVA sockliner provides soft, step-in comfort,One-piece EVA midsole turns cushioned landings into explosive takeoffs,Solid rubber outsole covers high impact zones for greater durability with less weight,Regular,Style #: 3026189,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/girls_grade_school_ua_assert_10_running_shoes/3026189.html?dwvar_3026189_color=400
Girls' Infant UA Assert 10 AC Running Shoes,60,"Your ultimate lightweight, do-everything shoes—with soft cushioning for a smooth ride and synthetic overlays for more support., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,Hook & loop strap for easy on & off,EVA sockliner provides soft, step-in comfort,One-piece EVA midsole turns cushioned landings into explosive takeoffs,Lightweight, durable outsole,Regular,Style #: 3026191,Lace type: Standard tie with hook & loop strap,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/girls_infant_ua_assert_10_ac_running_shoes/3026191.html?dwvar_3026191_color=103
