name,price,description,link
Boys' Grade School UA Surge 4 Running Shoes,63.97 - 70,"These shoes are going to feel cushioned and comfortable, but also light and breathable. Why? Because when you never slow down, that's what you need., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,TPU heel overlay for added durability & support,Enhanced cushioning around ankle collar for superior comfort,Full-length EVA sockliner for added comfort & a custom fit,Cushioned EVA midsole delivers a lightweight & responsive ride,Durable outsole with slightly raised rubber knobs for added grip & traction,Regular,Style #: 3027103,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/boys_grade_school_ua_surge_4_running_shoes/3027103.html?dwvar_3027103_color=600
Pre-School UA Jet '23 Basketball Shoes,54.97 - 70,"Locked in and ready for takeoff, the UA Jet is all about performance. The soft cushioning you need, while the durable upper looks great on and off the court., Mixed-material upper for enhanced durability, breathability & support where you need it,Plush foam sockliner for increased underfoot comfort,Cushioned EVA midsole delivers a lightweight & responsive feel underfoot​,Durable rubber outsole uses anatomical traction pattern for superior grip & flexibility,Regular,Style #: 3026636,Lace type: Standard tie,Imported,Machine wash warm with similar colors,Use only non-chlorine bleach when needed,Tumble dry medium,Do not iron",https://www.underarmour.ca/en-ca/p/basketball/pre-school_ua_jet_23_basketball_shoes/3026636.html?dwvar_3026636_color=100
Boys' Grade School UA Scramjet 6 Running Shoes,90,"These running shoes were inspired by jets—they're all about giving you thrust and propulsion when you run., Lightweight, breathable mesh upper,Plush sockliner maintains it's shape for all-day comfort,One-piece EVA midsole turns cushioned landings into explosive takeoffs,Strategically placed rubber pods beneath the heel & forefoot for greater durability with less weight,Regular,Style #: 3027691,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/boys_grade_school_ua_scramjet_6_running_shoes/3027691.html?dwvar_3027691_color=001
Pre-School UA Jet '23 Basketball Shoes,54.97 - 70,"Locked in and ready for takeoff, the UA Jet is all about performance. The soft cushioning you need, while the durable upper looks great on and off the court., Mixed-material upper for enhanced durability, breathability & support where you need it,Plush foam sockliner for increased underfoot comfort,Cushioned EVA midsole delivers a lightweight & responsive feel underfoot​,Durable rubber outsole uses anatomical traction pattern for superior grip & flexibility,Regular,Style #: 3026636,Lace type: Standard tie,Imported,Machine wash warm with similar colors,Use only non-chlorine bleach when needed,Tumble dry medium,Do not iron",https://www.underarmour.ca/en-ca/p/basketball/pre-school_ua_jet_23_basketball_shoes/3026636.html?dwvar_3026636_color=400
Boys' Grade School UA Surge 4 Running Shoes,63.97 - 70,"These shoes are going to feel cushioned and comfortable, but also light and breathable. Why? Because when you never slow down, that's what you need., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,TPU heel overlay for added durability & support,Enhanced cushioning around ankle collar for superior comfort,Full-length EVA sockliner for added comfort & a custom fit,Cushioned EVA midsole delivers a lightweight & responsive ride,Durable outsole with slightly raised rubber knobs for added grip & traction,Regular,Style #: 3027103,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/boys_grade_school_ua_surge_4_running_shoes/3027103.html?dwvar_3027103_color=004
Boys' Grade School UA Scramjet 6 Running Shoes,90,"These running shoes were inspired by jets—they're all about giving you thrust and propulsion when you run., Lightweight, breathable mesh upper,Plush sockliner maintains it's shape for all-day comfort,One-piece EVA midsole turns cushioned landings into explosive takeoffs,Strategically placed rubber pods beneath the heel & forefoot for greater durability with less weight,Regular,Style #: 3027691,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/boys_grade_school_ua_scramjet_6_running_shoes/3027691.html?dwvar_3027691_color=100
Boys' Grade School UA Surge 4 Running Shoes,63.97 - 70,"These shoes are going to feel cushioned and comfortable, but also light and breathable. Why? Because when you never slow down, that's what you need., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,TPU heel overlay for added durability & support,Enhanced cushioning around ankle collar for superior comfort,Full-length EVA sockliner for added comfort & a custom fit,Cushioned EVA midsole delivers a lightweight & responsive ride,Durable outsole with slightly raised rubber knobs for added grip & traction,Regular,Style #: 3027103,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/boys_grade_school_ua_surge_4_running_shoes/3027103.html?dwvar_3027103_color=300
Boys' Grade School UA Surge 4 Running Shoes,63.97 - 70,"These shoes are going to feel cushioned and comfortable, but also light and breathable. Why? Because when you never slow down, that's what you need., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,TPU heel overlay for added durability & support,Enhanced cushioning around ankle collar for superior comfort,Full-length EVA sockliner for added comfort & a custom fit,Cushioned EVA midsole delivers a lightweight & responsive ride,Durable outsole with slightly raised rubber knobs for added grip & traction,Regular,Style #: 3027103,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/boys_grade_school_ua_surge_4_running_shoes/3027103.html?dwvar_3027103_color=003
Boys' Grade School UA Surge 4 Running Shoes,63.97 - 70,"These shoes are going to feel cushioned and comfortable, but also light and breathable. Why? Because when you never slow down, that's what you need., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,TPU heel overlay for added durability & support,Enhanced cushioning around ankle collar for superior comfort,Full-length EVA sockliner for added comfort & a custom fit,Cushioned EVA midsole delivers a lightweight & responsive ride,Durable outsole with slightly raised rubber knobs for added grip & traction,Regular,Style #: 3027103,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/boys_grade_school_ua_surge_4_running_shoes/3027103.html?dwvar_3027103_color=001
Boys' Grade School UA Surge 4 Running Shoes,63.97 - 70,"These shoes are going to feel cushioned and comfortable, but also light and breathable. Why? Because when you never slow down, that's what you need., Lightweight, breathable mesh upper with synthetic overlays for added durability & support,TPU heel overlay for added durability & support,Enhanced cushioning around ankle collar for superior comfort,Full-length EVA sockliner for added comfort & a custom fit,Cushioned EVA midsole delivers a lightweight & responsive ride,Durable outsole with slightly raised rubber knobs for added grip & traction,Regular,Style #: 3027103,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/running_and_training/boys_grade_school_ua_surge_4_running_shoes/3027103.html?dwvar_3027103_color=002
