name,price,description,link
Women's UA Phantom 4 Shoes,150,"With the comfort and durability of a technical performance shoe plus the clean look and feel of a street sneaker, UA Phantom 4 is the ultimate outfit finisher., Molded, soft & structured material for comfort inside & out,Knit collar for a sock-like fit & feel & exceptional step-in comfort,Sleek TPU heel counter & heel pull for easy on/off,Plush, molded sockliner for enhanced comfort,Extra-springy UA HOVR™+ cushioning reduces impact, returns energy & helps propel you forward,Rubber outsole for added traction & durability,Regular,Style #: 3027594,Removable sockliner,Weight: 9.294 oz..,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/sportswear/womens_ua_phantom_4_shoes/3027594.html?dwvar_3027594_color=102
Unisex UA Forge 96 Leather Shoes,150,"The shoe inspired by 1996-the year Under Armour was established. It uses the finest materials and throwback tech to bring maximum breathability and retro sportswear vibes to your daily sneaker rotation., 90's-inspired design features mesh & leather upper materials,TPU film provides added durability where you need it most,Upgraded midsole foam & sockliner for all-day comfort,Full rubber outsole for everyday wear,Regular,Style #: 3027719,Weight: 13.24 oz.,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_forge_96_leather_shoes/3027719.html?dwvar_3027719_color=001
Women's UA Essential Runner Shoes,90,"UA is known for making super-light, breathable, comfortable shoes—and these are no exception. You want a pair that you can wear everywhere? You found them., Lightweight, breathable nylon upper with durable suede overlays,Deluxe foam sockliner for superior comfort,Cushioned EVA midsole delivers a lightweight & comfortable ride,Full-length rubber outsole for versatile traction & added durability,Regular,Style #: 3028409,Weight: 12 oz.,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/sportswear/womens_ua_essential_runner_shoes/3028409.html?dwvar_3028409_color=001
Unisex UA Forge 96 Leather Shoes,150,"The shoe inspired by 1996-the year Under Armour was established. It uses the finest materials and throwback tech to bring maximum breathability and retro sportswear vibes to your daily sneaker rotation., 90's-inspired design features mesh & leather upper materials,TPU film provides added durability where you need it most,Upgraded midsole foam & sockliner for all-day comfort,Full rubber outsole for everyday wear,Regular,Style #: 3027719,Weight: 13.24 oz.,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_forge_96_leather_shoes/3027719.html?dwvar_3027719_color=200
Women's UA Essential Runner Shoes,90,"UA is known for making super-light, breathable, comfortable shoes—and these are no exception. You want a pair that you can wear everywhere? You found them., Lightweight, breathable nylon upper with durable suede overlays,Deluxe foam sockliner for superior comfort,Cushioned EVA midsole delivers a lightweight & comfortable ride,Full-length rubber outsole for versatile traction & added durability,Regular,Style #: 3028409,Weight: 12 oz.,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/sportswear/womens_ua_essential_runner_shoes/3028409.html?dwvar_3028409_color=104
Women's UA Essential Runner Shoes,90,"UA is known for making super-light, breathable, comfortable shoes—and these are no exception. You want a pair that you can wear everywhere? You found them., Lightweight, breathable nylon upper with durable suede overlays,Deluxe foam sockliner for superior comfort,Cushioned EVA midsole delivers a lightweight & comfortable ride,Full-length rubber outsole for versatile traction & added durability,Regular,Style #: 3028409,Weight: 12 oz.,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/sportswear/womens_ua_essential_runner_shoes/3028409.html?dwvar_3028409_color=100
Women's UA Essential Runner Shoes,90,"UA is known for making super-light, breathable, comfortable shoes—and these are no exception. You want a pair that you can wear everywhere? You found them., Lightweight, breathable nylon upper with durable suede overlays,Deluxe foam sockliner for superior comfort,Cushioned EVA midsole delivers a lightweight & comfortable ride,Full-length rubber outsole for versatile traction & added durability,Regular,Style #: 3028409,Weight: 12 oz.,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/sportswear/womens_ua_essential_runner_shoes/3028409.html?dwvar_3028409_color=105
Women's UA Court 96 Suede Shoes,125,"UA is known for making super-light, breathable, comfortable shoes—and these are no exception. You want a pair that you can wear everywhere? You found them., Premium full-grain leather & suede upper for extreme comfort & durability,Comfort foam midsole delivers lightweight cushioning,Translucent rubber outsole is durable & provides excellent traction,Regular,Style #: 3028766,Weight: 12 oz.,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/sportswear/womens_ua_court_96_suede_shoes/3028766.html?dwvar_3028766_color=100
Women's UA Essential Runner Shoes,90,"UA is known for making super-light, breathable, comfortable shoes—and these are no exception. You want a pair that you can wear everywhere? You found them., Lightweight, breathable nylon upper with durable suede overlays,Deluxe foam sockliner for superior comfort,Cushioned EVA midsole delivers a lightweight & comfortable ride,Full-length rubber outsole for versatile traction & added durability,Regular,Style #: 3028409,Weight: 12 oz.,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/sportswear/womens_ua_essential_runner_shoes/3028409.html?dwvar_3028409_color=106
Unisex UA Forge 96 Leather Shoes,150,"The shoe inspired by 1996-the year Under Armour was established. It uses the finest materials and throwback tech to bring maximum breathability and retro sportswear vibes to your daily sneaker rotation., 90's-inspired design features mesh & leather upper materials,TPU film provides added durability where you need it most,Upgraded midsole foam & sockliner for all-day comfort,Full rubber outsole for everyday wear,Regular,Style #: 3027719,Weight: 13.24 oz.,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_forge_96_leather_shoes/3027719.html?dwvar_3027719_color=100
Women's UA Phantom 4 Shoes,150,"With the comfort and durability of a technical performance shoe plus the clean look and feel of a street sneaker, UA Phantom 4 is the ultimate outfit finisher., Molded, soft & structured material for comfort inside & out,Knit collar for a sock-like fit & feel & exceptional step-in comfort,Sleek TPU heel counter & heel pull for easy on/off,Plush, molded sockliner for enhanced comfort,Extra-springy UA HOVR™+ cushioning reduces impact, returns energy & helps propel you forward,Rubber outsole for added traction & durability,Regular,Style #: 3027594,Removable sockliner,Weight: 9.294 oz..,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/sportswear/womens_ua_phantom_4_shoes/3027594.html?dwvar_3027594_color=501
Women's UA Phantom 4 Armour U Shoes,150,"With the comfort and durability of a technical performance shoe plus the clean look and feel of a street sneaker, UA Phantom 4 is the ultimate outfit finisher., Molded, soft & structured material for comfort inside & out,Knit collar for a sock-like fit & feel & exceptional step-in comfort,Sleek TPU heel counter & heel pull for easy on/off,Plush, molded sockliner for enhanced comfort,Extra-springy UA HOVR™+ cushioning reduces impact, returns energy & helps propel you forward,Rubber outsole for added traction & durability,Regular,Style #: 3027884,Removable sockliner,Weight: 9.294 oz.,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/sportswear/womens_ua_phantom_4_armour_u_shoes/3027884.html?dwvar_3027884_color=100
Unisex UA Apparition Shoes,130,"Originally launched in 2009, we brought back one of UA's first sneakers. These throwbacks are packed with authentic running shoe details but updated with fresh colors, leather upper detailing and soft UA HOVR™ cushioning., Leather upper overlays for added support & durability where you need it,Breathable upper,Responsive UA HOVR™ cushioning reduces impact, returns energy & helps propel you forward,Upgraded sockliner for all-day comfort,Regular,Style #: 3027595,Imported",https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_apparition_shoes/3027595.html?dwvar_3027595_color=102
Unisex UA Apparition Shoes,130,"Originally launched in 2009, we brought back one of UA's first sneakers. These throwbacks are packed with authentic running shoe details but updated with fresh colors, leather upper detailing and soft UA HOVR™ cushioning., Leather upper overlays for added support & durability where you need it,Breathable upper,Responsive UA HOVR™ cushioning reduces impact, returns energy & helps propel you forward,Upgraded sockliner for all-day comfort,Regular,Style #: 3027595,Imported",https://www.underarmour.ca/en-ca/p/sportswear/unisex_ua_apparition_shoes/3027595.html?dwvar_3027595_color=106
Women's UA Reign 6 Training Shoes,165,"With three points of ground contact and a strategically secure upper, this training shoe is built to support your best form as you lift, move, and crush your most explosive workout., UA WARP upper provides ultimate support in dynamic movements with TPU mesh for max durability & breathability,External heel clip & internal heel counter for added stability & support,Dual-density midsole is softer in the forefoot & firmer in the heel for better support & underfoot comfort,Updated UA TriBase™ maximizes ground contact, promotes natural motion & provides flexibility to grip during lifts,Full-rubber outsole wraps up the sides for durability & added abrasion resistance with medial rope grip,Strategic rubber build under the toe box for a more powerful floor grip,Low to the ground build allows for greater feel & power transfer,Regular,Style #: 3027342,Offset: 2mm,Weight: 13.66 oz.,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/training/womens_ua_reign_6_training_shoes/3027342.html?dwvar_3027342_color=500
Women's UA Reign 6 Training Shoes,165,"With three points of ground contact and a strategically secure upper, this training shoe is built to support your best form as you lift, move, and crush your most explosive workout., UA WARP upper provides ultimate support in dynamic movements with TPU mesh for max durability & breathability,External heel clip & internal heel counter for added stability & support,Dual-density midsole is softer in the forefoot & firmer in the heel for better support & underfoot comfort,Updated UA TriBase™ maximizes ground contact, promotes natural motion & provides flexibility to grip during lifts,Full-rubber outsole wraps up the sides for durability & added abrasion resistance with medial rope grip,Strategic rubber build under the toe box for a more powerful floor grip,Low to the ground build allows for greater feel & power transfer,Regular,Style #: 3027342,Offset: 2mm,Weight: 13.66 oz.,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/training/womens_ua_reign_6_training_shoes/3027342.html?dwvar_3027342_color=101
Women's UA Ace Highlight Volleyball Shoes,175,"The super-high design gives you extra ankle support, but doesn't feel heavy or restrictive. The UA Flow cushioning is super-light and bouncy, to make you more explosive. Together, you get more power and more precision., UA IntelliKnit upper is breathable & comfortable with dynamic compression for stretch & support where needed,Molded heel & plush collar foam provides enhanced lockdown & comfort,Rubber-printed toe for added abrasion resistance,High-top ankle collar provides increased structure & support for on-court movements,Women's-specific sockliner for added underfoot comfort,Integrated Pebax® shank provides midfoot stability,New UA Flow cushioning technology is super-light, bouncy & provides insane grip,Durable UA Flow outsole provides better court feel so you can cut & stop/start faster than ever before,Regular,Style #: 3027083,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/volleyball/womens_ua_ace_highlight_volleyball_shoes/3027083.html?dwvar_3027083_color=001
Unisex UA Lockdown 7 Basketball Shoes,90,"These are light, comfortable, and tough enough to last all season—making them a go-to court shoe year after year., Breathable mesh upper with leather & film overlays for added support & durability,EVA midsole delivers a lightweight & responsive ride,Durable, solid rubber outsole with herringbone traction pattern for ultimate on-court movement & control,Regular,Style #: 3028512,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/basketball/unisex_ua_lockdown_7_basketball_shoes/3028512.html?dwvar_3028512_color=600
Unisex UA Lockdown 7 Basketball Shoes,90,"These are light, comfortable, and tough enough to last all season—making them a go-to court shoe year after year., Breathable mesh upper with leather & film overlays for added support & durability,EVA midsole delivers a lightweight & responsive ride,Durable, solid rubber outsole with herringbone traction pattern for ultimate on-court movement & control,Regular,Style #: 3028512,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/basketball/unisex_ua_lockdown_7_basketball_shoes/3028512.html?dwvar_3028512_color=001
Women's UA Ace Highlight Volleyball Shoes,175,"The super-high design gives you extra ankle support, but doesn't feel heavy or restrictive. The UA Flow cushioning is super-light and bouncy, to make you more explosive. Together, you get more power and more precision., UA IntelliKnit upper is breathable & comfortable with dynamic compression for stretch & support where needed,Molded heel & plush collar foam provides enhanced lockdown & comfort,Rubber-printed toe for added abrasion resistance,High-top ankle collar provides increased structure & support for on-court movements,Women's-specific sockliner for added underfoot comfort,Integrated Pebax® shank provides midfoot stability,New UA Flow cushioning technology is super-light, bouncy & provides insane grip,Durable UA Flow outsole provides better court feel so you can cut & stop/start faster than ever before,Regular,Style #: 3027083,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/volleyball/womens_ua_ace_highlight_volleyball_shoes/3027083.html?dwvar_3027083_color=100
Unisex UA SlipSpeed™ Training Shoes,150,"These are the most versatile training shoes we've ever made. They feel great, feel cool, cushion better, fit perfectly, handle your toughest training, AND have a heel that converts easily from recover mode to train mode., UA FLOW CUSHIONING: Unmatched comfort, ground contact & traction—no squeaks,BREATHABLE UPPER: Reinforced supportive material with engineered venting,BOA FIT SYSTEM: A personalized fit, one click at a time, with a 12-point lockdown system,ISO-CHILL PADDED INTERIOR: Heel to toe interior foam padding with cool-to-the-touch Iso-Chill technology,MACHINE WASHABLE: We made it easy—put them in the wash to keep them fresh & clean*,CONVERTIBLE HEEL: Go from train mode to recover mode,*Laundry bag not included,Regular,Style #: 3026197 | 3027049 | 3027057 | 3026409,Offset: 2mm,Weight: 10.8 oz.,Lace type: BOA™,Imported,Machine washable—we recommend putting them in a laundry bag,Air dry only",https://www.underarmour.ca/en-ca/p/training/unisex_ua_slipspeed_training_shoes/3026197.html?dwvar_3026197_color=122
Unisex UA Lockdown 7 Basketball Shoes,90,"These are light, comfortable, and tough enough to last all season—making them a go-to court shoe year after year., Breathable mesh upper with leather & film overlays for added support & durability,EVA midsole delivers a lightweight & responsive ride,Durable, solid rubber outsole with herringbone traction pattern for ultimate on-court movement & control,Regular,Style #: 3028512,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/basketball/unisex_ua_lockdown_7_basketball_shoes/3028512.html?dwvar_3028512_color=100
Unisex UA Lockdown 7 Basketball Shoes,90,"These are light, comfortable, and tough enough to last all season—making them a go-to court shoe year after year., Breathable mesh upper with leather & film overlays for added support & durability,EVA midsole delivers a lightweight & responsive ride,Durable, solid rubber outsole with herringbone traction pattern for ultimate on-court movement & control,Regular,Style #: 3028512,Lace type: Standard tie,Imported",https://www.underarmour.ca/en-ca/p/basketball/unisex_ua_lockdown_7_basketball_shoes/3028512.html?dwvar_3028512_color=101
